,left,right,forward,backward,up,down
220,-0.3494962327610119,-0.37470401469738207,-0.2235134015467178,-0.3270318510112198,-0.3438093502281525,-0.3398056421699661
221,-0.2388664184748511,-0.202245813627547,-0.20649014576962121,-0.18457181392407904,0.07657517122354798,-0.20939076426861108
222,-0.13137500000000002,-0.11000000000000001,0.01329342181525911,-0.142625,0.3126433218695156,-0.12493718209937395
223,-0.04551864608184309,-0.07250000000000001,0.37966102988942224,-0.05,-0.07250000000000001,0.1186767477360481
230,-0.3178078490046332,-0.32004000117187503,-0.2976386408013464,-0.30100153831390414,-0.2227367069282849,-0.3185224862902493
231,-0.14429703125,-0.15331250000000002,-0.15729101518630173,-0.14768750000000003,0.14750272839473652,-0.13056811823753856
232,-0.107625,-0.0975,0.4059118486639533,-0.05,-0.05,-0.05
233,-0.07500000000000001,-0.07500000000000001,0.4052117457814645,-0.05,-0.05,-0.05
300,-0.4130540839890692,-0.41165114948659126,-0.40674300154165055,-0.42081799490421545,-0.39032541130191295,-0.44682342555676513
301,-0.3409600601024334,-0.34050054260860896,-0.3686715579239851,-0.33265945789576223,-0.16950071622428178,-0.3307439744489762
302,-0.26490810937500003,-0.28004074439109816,-0.267446390625,-0.2601329557024505,0.007558040633873685,-0.27738489609552053
303,-0.2403639176628139,0.1261310624910278,-0.2262190625,-0.22509740858102192,-0.2262190625,-0.22578319364218546
310,-0.38703330079922793,-0.3547925349551698,-0.3941923956386719,-0.3803364652595326,-0.3934666178846321,-0.3991970566362481
311,-0.30522354114344696,-0.27923050171297314,-0.2800504557430075,-0.2961816556292202,0.043789237387022284,-0.31198930914466605
312,-0.0975,0.11552459026395381,-0.1164795747446903,-0.11289857260771263,-0.0975,-0.07182889742990602
313,-0.13345078125000004,0.4416198808646173,-0.0803128397291211,0.09619720555415459,-0.10194892841367378,-0.10165156250000001
320,-0.2970772984993131,0.0036366235347431164,-0.29810993991499934,-0.31551480650634367,-0.30571344024346125,-0.3080536489052872
321,-0.1736490490526406,0.2786963042630332,-0.1591830808735221,-0.13459720511135698,-0.14692026959065102,-0.13137500000000002
322,-0.0975,0.4194791048390921,-0.08166468750000001,-0.07500000000000001,0.1531355171098288,-0.0174315188177877
323,-0.05,0.9310526935751908,-0.05,0.0,0.21438867875422243,0.2503250723278556
330,-0.23601335894140485,-0.27713920034279504,-0.23856890420075907,-0.2344882996763995,0.36628822541144623,-0.2601961932957863
331,0.01145550864046746,-0.142625,-0.142625,-0.15440680261241246,0.703843971717652,-0.11887500000000002
332,-0.05,-0.05,-0.05,0.12071107468303628,0.8128006845358201,0.0
333,0.0,0.0,0.0,0.0,0.0,0.0
